0 AX2050BC Ford 2001 98758 458SDA6984SDFA12S 0
1 AX5048BD Toyota 2010 120567 98ASDF4567GHJ890D 0
2 AC7012FG Honda 2015 80321 67KJH890D4ASDFG123 0
11 AX8569BD Ford 2005 200956 34QWERTY567890ASDFDS 0
3 BM4087HI Chevrolet 2018 45678 12SDFG34567JKL890 1
4 BE5096IJ BMW 2012 98765 34DFG5678JKL9012 0
5 CA7123KL Audi 2019 65432 56GHJK7890QWERTY34 0
6 CE9150MN Mercedes-Benz 2017 87654 78ASDF90GHJKL2345 0
7 CB5432OP Volkswagen 2014 34567 90QWERTY12ASDFG567 0
8 AE6364AB Nissan 2016 23456 12ASDFG3456QWERTY78 0
9 AB7489CD Hyundai 2013 67890 34QWERTY567890ASDFG1 0
10 AX8541EF Ford 2020 54321 56GHJK78ASDFG9012 0
